gene_name	BC_01	BC_02	BC_03	BC_03LN	BC_04	BC_05	BC_06	BC_07	BC_07LN	BC_08	BC_09	BC_10	BC_11
SIGLEC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22991304	0.0	0.40390834	0.0	0.0861777
SCARB2	4.23124847	3.19755004	2.5874795	1.68245178	4.08995642	4.09208877	3.6278016	3.4762139	2.75664867	3.79632909	3.86435122	3.05388325	2.79755846
CD38	0.00651718	0.03578074	3.48582002	4.86875748	0.26989775	0.0	2.9983289	1.86938599	3.46166513	0.3435897	4.23319063	0.04938523	0.53755607
CD68	0.35119844	1.88677199	1.13904502	1.7434919	2.24245717	1.10469763	0.49127576	3.19686276	2.22501103	2.32502703	4.4769409	0.98465007	3.57853178
CD70	0.0	0.0	0.0	0.73428912	0.0	0.0	0.0	0.05233197	1.36455023	0.0	0.0	0.0	0.0
CD72	0.1762132	1.50121616	2.11119552	4.05353204	1.3556604	0.36779471	3.65831715	1.44094964	3.65514705	0.46918808	2.31926193	3.22614931	0.47397301
LRBA	3.1935738	2.71536859	3.35779135	2.87831962	2.72276625	3.0346345	2.50872083	2.01495531	3.00443019	1.84234237	2.99474846	2.49825467	2.21434983
CDC5L	2.55952045	2.44611323	2.80759383	3.2877436	3.6791244	3.37465338	2.74534599	2.77381346	3.40971447	2.64996041	2.31597834	2.88800785	3.40331635
CDC6	0.86451149	1.064218	3.91882683	4.19471081	4.30499915	4.93160239	2.52665621	1.99251038	2.35605432	0.34728315	2.0299011	0.00498754	3.49175801
CDC25C	0.29410372	0.71478636	1.78311864	3.04627847	1.73420217	1.31592067	0.0	0.56431063	0.46385268	2.51944809	1.86524225	0.01365633	0.25605067
CEACAM5	0.0	0.76338927	0.67817073	0.0	5.19169711	1.48828231	1.46639861	2.82851953	1.28506576	0.0	0.0	0.0	0.0
CENPF	1.69215161	0.52610121	3.4501334	4.78841707	3.11694445	3.29046895	2.9101526	3.18230947	3.6600674	0.87926587	2.98750687	0.96174199	3.75255823
CEACAM3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0161435	0.0	0.0	0.00349389	0.0	0.0
CEACAM8	0.0	0.0	1.20540421	0.0	0.01664044	0.01123535	0.0	0.0	0.50362999	1.08342508	0.0	0.13976194	0.0
CHI3L1	0.04585546	2.26932373	0.0	0.0	0.0282415	0.0	2.90965137	2.57645158	1.83812081	5.35489288	4.55107472	5.90419802	6.59411619
CHIT1	0.0	0.78748286	0.0	0.0	0.0	0.49612063	0.0	0.00176315	0.0	0.0	0.12619203	0.0	0.0
CLC	0.0	0.0	0.45090346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCR3	0.0	0.0	0.01608614	0.0	0.02212628	0.0	0.0	3.48239176	0.00470589	0.0	0.02420469	0.0	0.0
COL8A2	0.0	0.21309322	0.0	0.0	0.0	0.0	0.0	0.22282978	0.0	1.62710698	0.14410034	0.00312013	0.7406378
CPA3	1.46610035	0.0	0.0	0.0	0.37646095	0.00350036	0.0	0.0	0.00639461	0.0	0.0	0.0	0.0
CR2	0.68173617	0.00231874	1.88575839	3.47184787	0.0	0.0	2.96827885	0.24163813	3.92493551	0.00520383	0.0	0.0	0.0
ATF2	2.44408466	2.92110494	4.60545123	4.27037872	3.21933674	3.24692548	2.97146007	3.58028386	4.0249237	3.77026908	4.10557295	1.46816233	4.08447786
CSF1R	1.03769115	1.19678633	0.0	0.05895478	0.13710551	0.23038996	1.42609183	2.15644797	1.86329	0.3724627	3.61867156	4.07650937	0.26933293
CSF2	0.4212375	0.0	3.77213322	0.0103103	0.90174477	0.0	0.0	2.8702024	0.02717457	0.0	3.77991916	0.0	0.0
CSF3R	0.0	2.77236548	0.00539085	0.0	1.15431956	3.7369984	0.37486843	0.73189644	0.60689024	2.80635983	3.21942901	2.05939826	0.07696104
CTLA4	0.0	0.0	2.99993963	3.1830263	0.93808539	0.0	0.0	2.4379041	2.14588715	0.0	3.13276586	0.0	0.0
CTNS	1.70921363	1.09616883	0.79506936	1.10477508	1.33424253	0.58930067	0.0	0.9836928	1.38327093	1.54728495	2.10914192	0.00623055	0.19212186
CTSG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTSK	1.77044416	0.0	0.77073365	1.93669903	4.6217056	0.53215497	1.93666757	3.78594389	3.09856129	6.73024785	3.96362192	3.58760779	1.31078681
CTSW	0.0	0.00320913	2.70570511	0.04201401	1.85433632	0.0	0.0	3.26383419	0.34546136	0.0	5.03755307	1.03362922	0.0
CYBB	0.58821392	1.20826714	3.0631762	3.56718423	1.72349273	0.01916581	2.20651462	2.85702223	3.7705203	2.88322065	4.63718229	2.02921676	1.70226567
GADD45A	2.56471264	2.3547878	3.09538192	2.85976675	3.57229803	1.0081001	0.11118353	4.08961444	2.54788145	1.98447369	0.72851432	1.62444967	2.90789411
COCH	0.0254428	0.15180098	0.62940114	2.20483193	0.66198879	0.20002113	3.24900922	0.82880866	1.510472	3.41471431	0.01110478	0.01180505	0.6181297
DHFR	2.38985605	2.11730918	2.50911574	4.25474063	1.56670732	1.91787708	2.63542216	1.95580501	3.07080474	1.16219927	2.13996812	0.85547859	2.64778536
DPP4	0.9018797	0.0	0.00296856	0.36666128	0.47095656	0.00142755	0.0	0.90477368	0.95971161	2.78886853	3.30716139	0.00498754	0.0
TSC22D3	3.44340918	4.05743047	4.72082242	5.57252451	3.20264998	4.02820476	4.96300685	5.55629419	5.95758869	2.47126328	5.434872	3.61835639	4.43369145
DTNB	0.95802308	2.05508481	1.49162785	1.64855372	2.76520987	2.14576418	0.0	3.0222501	2.62550226	3.82106075	1.91858789	1.62420336	2.81475527
HBEGF	1.97813264	3.16440455	3.40897785	1.72357796	2.46047213	1.13754158	1.30660159	4.16396208	3.4644497	2.9252165	2.43235525	0.31023826	0.0
DUSP2	1.06112341	2.59574766	2.11240572	3.67918259	3.00927574	0.52787427	1.02245093	4.16260165	3.55981784	3.43415549	3.61438936	3.54273311	3.60004824
DUSP4	2.30042892	1.14188841	2.9708856	2.0334214	2.60789894	3.24729415	0.60649937	3.34672739	3.23254797	0.49204161	1.80662071	1.45788801	0.34745071
DUSP5	0.91536723	3.13947696	3.44198478	3.36067206	3.68024055	3.05447277	1.95908019	4.21049082	2.96153139	0.00736412	4.08415392	0.02834447	1.96914462
EMP1	0.00728112	5.09164018	2.90263855	2.36779384	4.70212155	2.41189365	3.91902245	5.04381973	3.98633554	5.10417051	3.25012252	4.79734409	4.47554803
EMR1	0.11812486	0.0	0.0	0.0	0.27338545	0.0	0.0	0.0	0.0	0.0	0.91281804	0.27810511	1.22029344
ERBB2	2.08991535	2.65998477	3.53032721	3.30867664	4.61601792	5.63271556	4.61316613	2.18519169	2.25347412	2.86287146	0.82241952	1.74145253	0.38464378
EREG	0.03848079	0.00552045	1.13366633	0.02282835	5.05744772	0.0	1.3314157	2.87925353	1.69668825	0.20736759	3.69882566	2.28785209	3.24305389
F13A1	0.0	0.0	0.0	0.33021896	0.00405955	0.0	0.00598207	0.82795227	0.0	2.5991084	4.67776988	2.08993319	0.0
FABP4	0.0	0.0	0.04672884	0.0	0.54547266	0.0	0.0	4.69392954	0.08911608	0.0	0.0	0.0	0.0
FCAR	0.0	0.0	0.0	0.0	0.29935101	0.0	0.0	0.0	0.0	0.06643889	0.0	0.0	0.0
MS4A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FCGR3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058806	0.0	0.05003163	0.65993505	0.07522342	0.0
FDX1	2.39179277	1.36918453	1.96529631	1.64865863	0.69229936	2.16805877	2.06163392	2.08452663	1.6135051	1.60761016	1.68904976	2.34180581	0.8548021
GPC4	0.00575265	0.62460064	0.13528661	0.0	1.14842426	2.23118673	2.01426282	0.35120905	0.00207332	0.0	0.31978618	0.69252199	1.03350795
FOXJ1	0.0	0.48495821	0.0	0.0	0.24646275	0.0	0.0	0.00586512	0.0	0.07696104	0.0	0.0	0.0
FLT3LG	0.74522863	0.0	0.0	0.19631411	0.5999534	0.09590032	0.0	0.53039754	0.0	2.0606243	1.62770341	0.0	0.0
FN1	1.97183492	2.65574135	1.19653984	2.24480189	4.80750898	3.99868908	3.69221389	4.95474943	4.97537824	6.77994562	6.23369413	5.30651802	6.73210451
FPR1	0.0	0.04572424	0.03948055	0.0	0.08197044	0.0	0.93011474	1.94711391	0.00583202	2.33555723	2.86627827	0.86841265	0.41331302
FUT5	0.72326595	0.69323646	0.2512844	0.4918096	0.37739108	0.76080583	0.57683806	0.41535072	0.32372284	0.58294404	0.4670827	0.54196085	0.78348635
FZD2	0.0	0.46440764	0.0	0.0	0.00203183	0.0	0.01941039	0.0	0.0	0.04089156	1.06396333	0.0	0.0
GALC	0.0	2.14712105	0.67170267	0.19302168	1.26283316	1.33092579	1.73059303	2.41006689	1.5069663	1.18372573	1.45877005	1.85854157	0.17700442
GATA2	2.27097534	1.74739699	2.25294051	0.99473216	0.94962715	1.46550755	1.12076509	2.45493583	1.18571276	0.26035556	0.0	0.0	0.0
GATA3	3.9906991	4.36620798	3.55701463	2.97406281	0.41289506	4.86426337	1.87081708	3.31328007	2.85024833	3.39977608	1.81642498	2.76091934	1.16796873
GGT1	1.33094427	2.08513956	2.26238228	1.87565489	2.15170308	2.82484381	2.22928295	2.20035692	3.85832762	2.67117572	1.91900378	3.19268584	0.0
GLDC	0.0	0.16475749	0.99425227	0.1811087	0.09500197	1.67590639	1.73278765	0.0	0.39839616	0.30588496	1.76849084	0.0	0.0
GM2A	1.9179967	2.25655985	2.36141478	3.04876451	3.03951395	1.34133775	2.08109018	2.27505267	3.39312717	1.805791	3.16058972	1.72644287	1.7042521
GNG7	0.20826417	0.98040506	0.15515404	0.4779267	0.24048386	0.64900529	0.03343478	0.70270916	1.15206363	1.28539249	0.06375697	1.10814999	0.20479441
GRB7	0.7386352	0.97718423	4.03714958	3.15031663	4.48909903	5.07251118	2.27599468	1.41704225	2.22964915	0.42753853	0.001998	0.06531947	0.01801851
CXCL1	0.88456188	0.02608537	0.04285236	0.0	6.33744711	0.0	5.56777946	4.24581659	0.17045902	0.0	3.56628329	1.71974866	5.32489291
GSTA4	0.0	2.59021806	2.64982922	3.06617379	3.21317145	4.89846182	2.47794917	2.57270203	3.426718	0.57416778	1.74827189	4.67145523	3.1406194
GSTT1	3.84878005	4.14622801	0.0	0.0	0.01212953	0.0	0.0	0.0	0.0	2.761797	0.0	0.0	0.0
GTF3C1	1.77122965	2.36453657	2.71374566	2.44846268	2.6768685	1.91827769	1.99301181	2.8659027	2.42117284	3.48643061	2.14626261	2.05580501	2.64591687
GUCA1A	0.00537017	0.0	0.05571593	0.00778778	0.00473454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GZMH	0.0	0.0	0.02640505	0.00706589	1.21596837	0.0	0.0	0.27316545	0.0097635	0.0	5.15421987	0.0	3.06792608
GZMA	0.0	0.0	0.0	0.0	0.02096513	0.0	0.0	1.44488693	3.80338669	0.0	5.43446481	0.01857639	2.98531456
GZMB	0.0608056	0.01400856	0.08468886	3.71272026	4.77768392	0.0	0.0	4.82200367	1.33251536	0.0	7.33539232	0.28329747	2.27343712
GZMM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51493482	0.03813159	0.0	0.0	0.0	0.0
HIST1H1C	4.76805078	4.17710062	5.14135531	4.85948677	3.27193772	2.40692171	1.83647786	3.9618733	4.37078205	2.87873426	3.97226795	2.87211585	2.70610892
HDC	0.0	0.00835783	0.0	0.0	0.0	0.0	0.0	1.75382682	2.44957271	0.0	0.0	0.0	0.0
HELLS	2.48156775	3.06352442	4.47041179	5.13331407	3.77383186	3.68152128	2.96089235	4.30278181	4.01573688	0.05744823	2.78260093	2.50853162	3.61767635
HLA-DOB	0.0	0.0	3.9387123	4.5671133	1.84098	0.0	4.16171033	1.92218556	4.32338516	0.77712861	2.99936733	0.0	1.90454688
HLA-DQA1	0.0	0.40188729	5.13014816	6.28856092	3.36967173	0.00103842	5.53881663	5.57081115	5.85704435	2.82651577	5.72163331	5.00501537	4.764882
HPGD	1.41417139	0.41470798	0.0	0.0	0.05442398	0.0	0.0	0.0	0.0	0.0	0.4928653	0.0	0.0
HES1	3.0910949	3.28699498	2.34592931	2.6754644	3.23712856	3.3133214	2.24453216	3.30126149	3.05655221	3.81944041	1.62064158	3.13007193	3.83231055
HSD11B1	0.20262682	0.2603017	0.33492664	0.0	0.02378273	0.21059765	0.0	1.82511839	2.34522882	0.0	3.35809849	0.01427266	0.0
DNAJB1	2.79352193	4.72206394	5.75241904	4.97666477	5.46867927	3.75086907	2.31656689	5.34960953	5.01242489	3.90330687	4.6655689	4.4220358	5.1469658
IDH2	2.97342767	2.38197374	2.67877911	3.10315067	5.28310134	3.64814877	0.80522508	3.06131804	3.51147222	2.43155174	3.70076273	2.74867218	4.02187162
IFNG	0.0	0.0	2.28108535	2.52552499	0.05986661	0.0	0.0	4.65415268	4.31441926	0.23970136	5.55388809	0.05826891	3.81717272
IGFBP5	4.09804284	3.03346665	0.26734146	0.14323417	2.56389274	1.31019139	2.3965125	1.70307111	2.19352803	3.10997281	1.01854643	3.00685766	3.02899119
IL3RA	0.0	0.0	0.05494877	0.73611959	0.14064586	0.27694279	0.0	3.17128259	2.29783799	0.0	4.55683042	0.0	0.0
IL5RA	0.0	0.0	0.0	2.06490457	0.00827079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IL8	0.88551427	1.46746281	3.63742256	3.15863159	8.14196882	2.49440683	1.53212481	5.54685725	4.61500656	4.0774269	3.90347323	6.08775294	1.02473739
IL12RB2	0.1088544	0.21367025	0.0	1.58040225	0.16105175	0.11483497	0.0	0.24517361	2.17856092	0.0	1.65590793	0.0	0.32471508
KAL1	0.62470361	2.07440657	1.90998285	0.64060909	2.55054361	1.75037364	0.0	0.36532371	0.02349539	0.10004205	2.65018566	0.00871194	3.30914854
KCNH2	0.33040994	0.0	0.0	0.0	0.65223691	0.10013912	0.26390154	0.0	0.0	0.06440264	0.0	0.0	0.0
KCNJ15	0.00728112	0.0	0.07194347	0.0	0.0	0.09116939	0.00558438	1.97129938	0.0641257	2.71080004	0.33062182	0.0	0.0
KIR2DL3	0.0	0.0	0.0	0.0	0.00860692	0.0	0.0	0.0	0.0	0.0	1.91033232	0.0	0.0
KIR3DL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08173059	0.0	0.0
KIR3DL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57782435	0.0	0.0	1.75056125	0.01488861	0.38216546
KIT	0.0	0.0	0.00485307	1.29348106	2.09606114	3.43390341	0.0	0.4681637	0.00451808	0.0	2.78764152	2.79124179	3.2707435
KLRB1	0.0	0.0	1.41808107	0.64357489	0.02212628	0.0	0.0	1.66877913	2.25464268	0.0	1.45157479	0.0	0.0
KLRD1	0.94823653	0.32518428	0.39750559	0.0	1.4932849	0.0	0.01941039	0.07168206	0.0	1.96315196	4.16722063	0.00809217	0.8466483
KPNA2	4.28684914	3.89244692	6.45975218	6.9651164	5.39367993	4.45519864	4.51399305	5.24501587	5.38996562	1.09600018	5.20230652	3.26947388	5.95678369
KRT86	0.02768999	0.18113037	0.0	0.0	2.8705341	0.11158784	0.29802836	1.07366311	0.01032388	0.17249078	0.00249688	0.13867439	0.03044103
LAIR2	0.0	0.0	0.0	1.13713346	1.11196902	0.0	0.0	3.58645037	0.14614025	0.0	2.42045701	0.40254418	0.0
LCK	1.01620568	0.0	3.98215901	3.6110555	0.26925054	0.11737891	1.40580283	2.30385879	3.26629218	0.16477725	4.54135141	0.0	3.19889573
LTA	0.0	0.0	1.89891567	2.70413953	1.24795725	0.0	2.87915351	2.16672045	2.8704578	0.01852304	4.05804934	0.0	0.04879016
CYP4F3	0.0	0.0	0.89476337	0.16381809	0.92311485	0.79375617	0.0	0.0	0.0	0.0	0.49875304	0.0	0.0
SH2D1A	0.0	0.0	3.68796688	3.04696102	2.20823716	0.0	0.0	3.61663551	3.42386309	0.0	4.2433104	0.0	3.02973837
TACSTD2	3.73905145	3.47788281	3.07181706	1.96047883	2.82825591	3.15919199	3.90844862	5.13681522	4.35524186	4.66074062	1.87282729	3.66500291	5.66513929
SMAD2	3.94773164	3.25575864	3.60610724	3.88733903	4.27858753	3.59068655	2.54468385	2.91907354	3.59755002	4.59195719	1.75463434	2.51411142	3.76045988
MAOB	0.0	2.638547	3.75703684	2.9923356	0.01396976	2.2575198	0.0	2.54175637	0.14385528	0.3435897	1.10856262	3.03971925	3.712485
MB	0.10539898	1.70552701	1.31030312	0.60530902	1.37560181	2.40051286	2.13269791	2.73502937	3.01571062	3.30849395	0.10451015	4.44320258	0.0
ME1	2.75346471	1.43487192	0.0	0.0	1.71961393	2.39646568	0.98939248	2.1009248	2.17676513	0.11410478	2.37358706	1.01069141	3.26284051
MEF2C	0.78108761	0.82229397	4.21515404	5.04798363	0.63325322	0.0	3.73738386	2.79450369	4.39526178	0.01167076	3.41494687	2.80188202	3.15904861
MME	0.07517883	0.0	2.05245915	3.68749668	0.12071658	0.0	0.51855567	1.05314991	3.68770896	0.50864934	2.67678884	0.0	1.93323273
MMP12	0.0	0.00676279	0.02165571	0.0	3.57255034	0.0	0.0	0.25159761	0.0	0.0	2.9343532	0.01427266	3.45016069
MPO	0.0	0.0	1.54514441	1.66316823	0.00776637	0.0	0.01113774	0.47073865	0.00226159	0.0	0.0	0.0	0.0
MSR1	0.0	1.97663233	0.00377664	0.01390291	2.19278914	2.77056557	0.28728199	2.03190794	0.00901584	0.0	4.63219017	3.80282179	0.0
NAP1L4	3.93045214	3.92609144	4.40573986	4.54112221	3.89233556	4.55925543	4.21115527	4.68239989	4.49920362	3.68869465	4.25233073	3.91259784	3.96342448
CEACAM6	0.05098555	4.26627502	1.88127896	0.56758396	6.58680196	4.2222065	5.71366548	4.06910384	3.8573556	0.15626025	0.93262329	0.01734864	0.0
NKG7	0.0	0.02259983	3.00914196	2.16231939	3.48104711	0.0	0.0	3.92324607	4.23275202	1.70482714	6.92642442	2.71390801	4.11135065
NPR1	0.0	0.0	0.0	0.0	0.00759818	0.60976557	0.0	0.0	0.95318654	0.0	0.0	1.27448951	0.0
OAS3	1.09912498	2.4417568	0.74450804	1.89300243	1.69486895	1.15246076	0.76676932	2.10876236	1.56570287	2.20999296	3.69643831	0.48742905	2.47125326
PDE4B	4.11426659	0.97050832	2.79201038	2.78304523	3.97644182	3.1937578	2.23533356	4.56894342	4.61659337	1.90074385	3.84377628	2.56181946	5.45726173
PF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB4	0.0	0.36265702	3.27663466	0.25900197	0.39923103	1.29326729	2.23289198	1.61413276	1.6786119	0.02150621	1.79048087	0.0	0.0
PHEX	0.28402153	0.66883619	3.72797022	3.17275954	1.04618841	0.92811663	0.0	1.74300852	1.56016839	0.14691963	1.0627548	0.06940945	0.0
PMCH	0.0	0.0	0.57265778	0.02619924	0.0	0.0	0.0	2.31728051	0.66579538	0.0	2.33838651	0.0	0.0
PNOC	0.0	0.0	2.33458123	4.09234863	0.0	0.0	2.00622548	0.53878406	3.54183944	0.0	1.0059486	0.0	0.0
PPARG	1.18396631	0.02643326	2.2115953	1.18728894	0.41703632	0.97058212	0.02137003	1.16498736	0.58935776	0.26269866	2.31022252	0.0	0.0
MED1	2.00847213	1.73216111	2.35420266	2.56473955	4.38188679	2.6531688	3.60021216	2.47742777	2.99467511	2.14093535	1.38658599	0.58535315	2.52150154
PPP1R2	4.3188308	3.70433968	4.59511439	4.47841475	4.29094922	4.0333921	1.15851508	4.73422712	4.6763511	3.20371805	4.16060816	1.64420159	5.00311619
PPP2R5C	5.59839917	5.14564476	5.96059706	5.98743371	4.8460804	4.99969602	5.58852874	5.93724696	6.31317677	4.45194806	5.79230299	5.01343138	4.78446444
PREP	1.80107492	1.76897203	1.43816857	1.27470235	2.44168359	2.40749486	1.11854563	2.21220978	0.60410974	1.5965729	3.22683077	3.10629486	0.54232429
PRF1	0.01071166	0.0	0.46237324	0.29049629	0.87941574	0.09542824	0.0	1.40859291	1.55420439	0.0	4.52496108	0.0	1.18812055
PRG2	0.0	0.21251585	0.0	0.15902191	0.01045364	0.0	0.0898407	0.04242072	0.12338576	0.0	0.22580667	0.1553999	0.0
PRKCQ	0.07017166	0.0	2.44513984	0.32720868	0.56357887	0.0295588	0.0	0.42603637	0.69578521	0.0	2.33829002	0.0	0.0
PSMD4	4.5494013	4.77098119	4.59277476	4.77609523	4.87488287	4.37218289	4.67433798	5.25153607	5.37917455	5.42306738	5.16852564	5.7225388	6.03569455
