0,1,2,3,4,5
ENSG00000222950,RN7SKP262,misc_RNA,25779287,25779569,12
ENSG00000244677,RN7SL706P,misc_RNA,68149617,68149908,14
ENSG00000277922,FTX_5,misc_RNA,74293357,74293574,X
ENSG00000222154,RN7SKP218,misc_RNA,53490148,53490439,7
ENSG00000277752,DLEU2_5,misc_RNA,50075570,50075653,13
ENSG00000272439,RNU6-91P,snRNA,99444306,99444412,14
ENSG00000241821,RN7SL170P,misc_RNA,56688401,56688695,20
ENSG00000265889,Y_RNA,misc_RNA,36285312,36285413,17
ENSG00000207194,RNU6-1026P,snRNA,50582404,50582511,1
ENSG00000273541,DLEU1_2,misc_RNA,50104833,50105174,13
ENSG00000202081,RNU6-1280P,snRNA,85651522,85651628,15
ENSG00000202515,VTRNA1-3,misc_RNA,140726158,140726246,5
ENSG00000252305,SNORA74,snoRNA,14177131,14177310,17
ENSG00000276253,AC243790.1,protein_coding,30361040,30361438,CHR_HSCHR15_4_CTG8
ENSG00000221216,RNU6ATAC27P,snRNA,28481362,28481480,1
ENSG00000200831,SNORD36B,snoRNA,133350095,133350168,9
ENSG00000278237,NCRUPAR_2,misc_RNA,76712763,76712861,5
ENSG00000271852,SNORD11B,snoRNA,202291332,202291421,2
ENSG00000201980,SNORA62,snoRNA,4756645,4756797,11
ENSG00000251756,RNA5SP385,rRNA,51692752,51692861,14
ENSG00000244307,RN7SL395P,misc_RNA,144785298,144785588,8
ENSG00000199880,RNU6-888P,snRNA,138123011,138123111,5
ENSG00000276800,Metazoa_SRP,misc_RNA,21463963,21464279,22
ENSG00000201811,SNORA71,snoRNA,38442036,38442169,20
ENSG00000222616,RN7SKP27,misc_RNA,22861552,22861884,2
ENSG00000275405,U1,snRNA,21861,22024,KI270713.1
ENSG00000207115,RNU6-364P,snRNA,96341140,96341246,7
ENSG00000252622,RNU6-881P,snRNA,131126990,131127091,9
ENSG00000238942,SNORD2,snoRNA,186784796,186784864,3
ENSG00000264909,U1,snRNA,32479741,32479887,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000222783,RN7SKP212,misc_RNA,130811768,130812095,3
ENSG00000281810,MIR3972,miRNA,17277889,17277975,CHR_HG2095_PATCH
ENSG00000242769,RN7SL432P,misc_RNA,114697627,114697924,1
ENSG00000206662,Y_RNA,misc_RNA,17710934,17711046,12
ENSG00000199709,RNU4-23P,snRNA,122927034,122927173,11
ENSG00000212518,RNU11-5P,snRNA,29476784,29476912,14
ENSG00000222960,RNU6-272P,snRNA,53912020,53912123,5
ENSG00000222724,RNU2-63P,snRNA,88016354,88016547,2
ENSG00000207297,SNORD7,snoRNA,35573657,35573753,17
ENSG00000202351,RN7SKP204,misc_RNA,13547704,13548013,6
ENSG00000207494,Y_RNA,misc_RNA,124814958,124815062,10
ENSG00000206806,Y_RNA,misc_RNA,40351564,40351672,11
ENSG00000207265,Y_RNA,misc_RNA,52259076,52259187,19
ENSG00000207071,RNU6-1207P,snRNA,45188790,45188896,10
ENSG00000277967,ZNFX1-AS1_3,misc_RNA,49280485,49280571,20
ENSG00000277081,RMST_10,misc_RNA,97564174,97564327,12
ENSG00000200884,Y_RNA,misc_RNA,96962656,96962757,5
ENSG00000275915,NPPA-AS1_3,misc_RNA,11847442,11847549,1
ENSG00000275808,Metazoa_SRP,misc_RNA,59004213,59004494,16
ENSG00000276711,U2,snRNA,183252,183364,GL000225.1
ENSG00000201070,RNU4-84P,snRNA,98782410,98782548,2
ENSG00000199283,RNU1-58P,snRNA,140241870,140242032,7
ENSG00000207231,Y_RNA,misc_RNA,185415973,185416086,4
ENSG00000212370,RNU6-482P,snRNA,112778363,112778469,5
ENSG00000201579,RNU6-343P,snRNA,56588518,56588621,12
ENSG00000200601,RNA5SP50,rRNA,73749517,73749623,1
ENSG00000251873,RNA5SP182,rRNA,51886688,51886769,5
ENSG00000274709,Evf-2_5p,misc_RNA,97013925,97014066,7
ENSG00000242651,RN7SL862P,misc_RNA,9830330,9830627,18
ENSG00000207656,MIR489,miRNA,93483936,93484019,7
ENSG00000198995,MIR340,miRNA,180015303,180015397,5
ENSG00000201511,Y_RNA,misc_RNA,101647421,101647522,3
ENSG00000207428,RNU6-95P,snRNA,68003895,68004001,4
ENSG00000216058,MIR944,miRNA,189829922,189830009,3
ENSG00000273818,RN7SL673P,misc_RNA,30091662,30091898,15
ENSG00000284448,MIR6501,miRNA,33550662,33550728,21
ENSG00000199832,Y_RNA,misc_RNA,107202577,107202683,X
ENSG00000275458,MIR6809,miRNA,217900513,217900628,2
ENSG00000273752,U6,snRNA,54855316,54855422,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000284067,MIR6837,miRNA,44051766,44051829,7
ENSG00000200455,RNU6-1112P,snRNA,40077884,40077982,4
ENSG00000221288,MIR663B,miRNA,132256966,132257080,2
ENSG00000207645,MIR512-1,miRNA,53666679,53666762,19
ENSG00000199047,MIR378A,miRNA,149732825,149732890,5
ENSG00000274390,MIR6885,miRNA,6389638,6389703,19
ENSG00000238562,RNU7-159P,snRNA,102903892,102903953,11
ENSG00000264233,MIR4456,miRNA,535840,535882,5
ENSG00000266146,MIR5190,miRNA,13459947,13460026,18
ENSG00000263955,RN7SL850P,misc_RNA,4633591,4633881,16
ENSG00000212624,SNORA26,snoRNA,51724775,51724896,1
ENSG00000278250,Metazoa_SRP,misc_RNA,120018900,120019261,12
ENSG00000283744,MIR6755,miRNA,86278333,86278398,11
ENSG00000266439,RN7SL493P,misc_RNA,10221775,10222073,16
ENSG00000263912,Metazoa_SRP,misc_RNA,30743271,30743522,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000274284,Y_RNA,misc_RNA,38231043,38231144,17
ENSG00000262579,U6,snRNA,69175662,69175768,CHR_HSCHR16_2_CTG3_1
ENSG00000276222,Y_RNA,misc_RNA,46226740,46226841,CHR_HSCHR17_2_CTG5
ENSG00000201415,RNA5SP204,rRNA,17721786,17721903,6
ENSG00000263908,MIR3116-1,miRNA,62078786,62078859,1
ENSG00000207041,RNU6-3P,snRNA,141118030,141118136,X
ENSG00000266203,MIR5585,miRNA,32086949,32087007,1
ENSG00000206911,Y_RNA,misc_RNA,93827622,93827734,11
ENSG00000278124,RN7SL186P,misc_RNA,22010650,22010946,1
ENSG00000199469,RNU1-62P,snRNA,72576691,72576854,3
ENSG00000200484,RNU6-1244P,snRNA,32394558,32394665,10
ENSG00000223284,RNU6-195P,snRNA,40708055,40708163,19
ENSG00000199934,SNORD81,snoRNA,85592280,85592356,1
ENSG00000201710,SNORD113,snoRNA,100979992,100980066,14
ENSG00000243900,RN7SL320P,misc_RNA,51469753,51470047,13
ENSG00000276918,Metazoa_SRP,misc_RNA,66374138,66374435,11
ENSG00000277653,CDKN2B-AS,misc_RNA,22117665,22117814,9
ENSG00000251705,RNA5-8SP6,rRNA,10200155,10200306,Y
ENSG00000200815,RNU6-1091P,snRNA,50435380,50435486,7
ENSG00000222922,RNA5SP501,rRNA,32102065,32102176,X
ENSG00000272075,RN7SL828P,misc_RNA,118067237,118067539,11
ENSG00000277542,HOXB13-AS1_2,misc_RNA,48723692,48723772,17
ENSG00000278123,SNORD116-28,snoRNA,25104642,25104732,15
ENSG00000201966,RNA5-8SP4,rRNA,24004358,24004507,19
ENSG00000200062,RNU4-58P,snRNA,59540126,59540266,16
ENSG00000244512,RN7SL28P,misc_RNA,184278936,184279233,4
ENSG00000203573,Metazoa_SRP,misc_RNA,40585454,40585751,15
ENSG00000212579,SNORA40,snoRNA,35651818,35651945,6
ENSG00000222210,RN7SKP65,misc_RNA,57977965,57978277,12
ENSG00000274401,ZNRD1-AS1_3,misc_RNA,30051409,30051512,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000273642,AC012314.1,protein_coding,54102906,54107026,CHR_HSCHR19LRC_LRC_J_CTG3_1
ENSG00000251859,RNU6-1288P,snRNA,14274622,14274725,2
ENSG00000284317,MIR7114,miRNA,137450026,137450086,9
ENSG00000199792,RNU6-1233P,snRNA,175397247,175397348,3
ENSG00000201223,RNU6-1305P,snRNA,36155119,36155222,5
ENSG00000252426,RNU1-107P,snRNA,25723342,25723495,Y
ENSG00000207380,Y_RNA,misc_RNA,5964538,5964650,20
ENSG00000201325,RNA5SP142,rRNA,137518134,137518255,3
ENSG00000221275,MIR548I2,miRNA,9556168,9556316,4
ENSG00000252468,RNU2-57P,snRNA,5019076,5019266,Y
ENSG00000266780,MIR4444-2,miRNA,75214476,75214549,3
ENSG00000275708,MIR3648-1,miRNA,8208473,8208652,21
ENSG00000199350,RNA5SP432,rRNA,84039918,84040033,16
ENSG00000252699,SNORA21B,snoRNA,38851524,38851659,17
ENSG00000221628,MIR1302-4,miRNA,207269275,207269424,2
ENSG00000207513,RNU1-3,snRNA,16666785,16666948,1
ENSG00000207653,MIR558,miRNA,32532153,32532246,2
ENSG00000221548,MIR1283-2,miRNA,53758232,53758318,19
ENSG00000284361,MIR4745,miRNA,804940,805001,19
ENSG00000207031,SNORD59A,snoRNA,56645027,56645101,12
ENSG00000207378,RNU6-748P,snRNA,98462944,98463050,8
ENSG00000201287,RN7SKP171,misc_RNA,37661747,37662049,9
ENSG00000274655,XIST_intron,misc_RNA,73821657,73821724,X
ENSG00000283172,hsa-mir-548d-1,miRNA,123348034,123348130,8
ENSG00000202542,Y_RNA,misc_RNA,48325558,48325671,15
ENSG00000265635,MIR3612,miRNA,128294092,128294178,12
ENSG00000253005,RNU6-176P,snRNA,28142737,28142841,1
ENSG00000276622,MIR6499,miRNA,151522087,151522148,5
ENSG00000239041,snoU13,snoRNA,172691299,172691402,2
ENSG00000265345,MIR5188,miRNA,124915547,124915659,12
ENSG00000265357,MIR4493,miRNA,123381440,123381512,11
ENSG00000253065,SNORA40,snoRNA,168033091,168033205,5
ENSG00000272036,MIR139,miRNA,72615063,72615130,11
ENSG00000207133,SNORD116-7,snoRNA,25067788,25067882,15
ENSG00000223305,RN7SKP30,misc_RNA,55540502,55540835,4
ENSG00000266666,MIR4325,miRNA,57321502,57321591,20
ENSG00000264559,MIR3162,miRNA,59595077,59595158,11
ENSG00000199575,SNORD114-1,snoRNA,100949833,100949904,14
ENSG00000261867,U6,snRNA,101205448,101205554,CHR_HSCHR12_3_CTG2_1
ENSG00000212520,RNU6-1250P,snRNA,67808502,67808608,10
ENSG00000199065,MIR101-2,miRNA,4850297,4850375,9
ENSG00000265331,MIR4524B,miRNA,69099542,69099656,17
ENSG00000277202,MIR8063,miRNA,36972821,36972901,15
ENSG00000200737,Y_RNA,misc_RNA,97421195,97421307,10
ENSG00000264500,MIR3124,miRNA,248826377,248826443,1
ENSG00000276640,ZNRD1-AS1_2,misc_RNA,30136615,30136690,CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000241552,RN7SL58P,misc_RNA,18547312,18547605,5
ENSG00000225091,SNORA71A,snoRNA,38427309,38427442,20
ENSG00000265932,MIR3146,miRNA,19705358,19705436,7
ENSG00000207607,MIR200A,miRNA,1167863,1167952,1
ENSG00000243125,RN7SL807P,misc_RNA,223248498,223248794,2
ENSG00000266415,MIR4636,miRNA,9053816,9053895,5
ENSG00000279049,AL353898.2,pseudogene,54099968,54100224,1
ENSG00000207452,RNU6-606P,snRNA,87299687,87299797,5
ENSG00000207042,RNU6-196P,snRNA,21642294,21642400,16
ENSG00000278278,MIR6816,miRNA,20114686,20114751,22
ENSG00000278469,Metazoa_SRP,misc_RNA,3124777,3125063,12
ENSG00000266436,MIR4264,miRNA,79649294,79649359,2
ENSG00000206716,RNU6-133P,snRNA,21214637,21214743,X
ENSG00000206925,Y_RNA,misc_RNA,40342329,40342441,19
ENSG00000264049,MIR4737,miRNA,60043025,60043105,17
ENSG00000251980,RNU6-436P,snRNA,157912772,157912885,2
ENSG00000201078,RN7SKP214,misc_RNA,37055033,37055347,22
ENSG00000274860,Metazoa_SRP,misc_RNA,6521131,6521412,17
ENSG00000207287,RNU6-1274P,snRNA,96743167,96743273,10
ENSG00000202339,RNU4-45P,snRNA,22205192,22205332,21
ENSG00000207811,MIR34B,miRNA,111512938,111513021,11
ENSG00000207759,MIR181A1,miRNA,198859044,198859153,1
ENSG00000201770,RNU6-384P,snRNA,31581089,31581192,20
ENSG00000252988,RNU6-111P,snRNA,73298683,73298787,2
ENSG00000264419,MIR548AC,miRNA,116560024,116560111,1
ENSG00000212316,RNU6-1228P,snRNA,75198071,75198177,9
ENSG00000266263,7SK,misc_RNA,30908902,30909204,CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000200799,RNU6-770P,snRNA,108392073,108392177,6
ENSG00000277605,Metazoa_SRP,misc_RNA,47476822,47477152,X
ENSG00000273875,TARM1,protein_coding,54069947,54081380,CHR_HSCHR19LRC_PGF2_CTG3_1
ENSG00000239128,SNORD13P3,snoRNA,47250523,47250626,3
ENSG00000200225,RNA5SP382,rRNA,20414987,20415098,14
ENSG00000201201,RN7SKP118,misc_RNA,67321658,67321987,16
ENSG00000222356,RNU6-710P,snRNA,111996635,111996739,9
ENSG00000200942,RNU6-501P,snRNA,201733406,201733505,1
ENSG00000278264,MIR6803,miRNA,55245186,55245250,19
ENSG00000200257,RNU6-97P,snRNA,76752912,76753015,17
ENSG00000201377,RNY4P23,misc_RNA,70396279,70396375,X
ENSG00000277887,SNORA50C,snoRNA,64146339,64146471,17
ENSG00000276220,AC012314.11,protein_coding,54102906,54107026,CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000284542,MIR3614,miRNA,56891270,56891355,17
ENSG00000281557,AL357055.4,lincRNA,113013524,113074942,CHR_HG2104_PATCH
ENSG00000283416,MIR1910,miRNA,85741621,85741700,16
ENSG00000251814,RN7SKP18,misc_RNA,117299364,117299638,6
ENSG00000265855,MIR4514,miRNA,80997417,80997473,15
ENSG00000244404,RN7SL216P,misc_RNA,25020166,25020463,3
ENSG00000207961,MIR496,miRNA,101060573,101060674,14
ENSG00000266611,MIR4703,miRNA,51552589,51552667,13
ENSG00000266188,MIR5095,miRNA,52934930,52935017,1
ENSG00000200726,SNORD115-8,snoRNA,25184306,25184387,15
ENSG00000278073,MIR6726,miRNA,1296110,1296170,1
ENSG00000202385,Y_RNA,misc_RNA,89020246,89020365,1
ENSG00000201288,RNU6-1047P,snRNA,127240968,127241074,3
ENSG00000207198,RNU6-1195P,snRNA,41113942,41114045,4
ENSG00000207460,SNORD116-19,snoRNA,25086527,25086618,15
ENSG00000274535,SNORD39,snoRNA,158909373,158909450,4
ENSG00000199824,RNU6-199P,snRNA,51162901,51163007,12
ENSG00000200468,RNA5SP403,rRNA,9564390,9564497,16
ENSG00000264615,RN7SL592P,misc_RNA,2228961,2229241,9
ENSG00000275291,U1,snRNA,144523860,144524021,1
ENSG00000206721,Y_RNA,misc_RNA,120210320,120210421,3
ENSG00000242865,RN7SL244P,misc_RNA,53090961,53091257,6
ENSG00000206906,RNU6-458P,snRNA,18343038,18343144,14
ENSG00000242121,RN7SL267P,misc_RNA,182314284,182314544,2
ENSG00000252916,RNU6-762P,snRNA,200899020,200899121,2
ENSG00000238585,Y_RNA,misc_RNA,55501595,55501708,4
ENSG00000206788,RNU6-629P,snRNA,178038902,178039004,2
ENSG00000252449,RNU6-139P,snRNA,62814382,62814491,3
ENSG00000199290,Y_RNA,misc_RNA,29750371,29750472,6
ENSG00000252383,RNU6-314P,snRNA,16098704,16098807,17
ENSG00000239079,snoU13,snoRNA,122726208,122726311,11
ENSG00000277091,U6,snRNA,33890040,33890146,CHR_HSCHR5_6_CTG1
ENSG00000199814,RNU6-1260P,snRNA,14850429,14850535,9
ENSG00000200572,Y_RNA,misc_RNA,134142228,134142340,X
ENSG00000201662,RNU6-60P,snRNA,48987915,48988017,13
ENSG00000264025,U6,snRNA,28915637,28915736,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000239794,RN7SL653P,misc_RNA,91829774,91830066,1
ENSG00000265214,MIR4283-2,miRNA,63621090,63621169,7
ENSG00000212133,RNU6-1168P,snRNA,88383494,88383597,2
ENSG00000266245,MIR4644,miRNA,170330761,170330844,6
ENSG00000199640,RN7SKP294,misc_RNA,49330210,49330547,8
ENSG00000212377,SNORD37,snoRNA,72453902,72453967,13
ENSG00000277872,MIR6817,miRNA,25455646,25455711,22
ENSG00000283498,MIR1244-2,miRNA,118974586,118974670,5
ENSG00000252097,RNU6-346P,snRNA,76800664,76800774,18
ENSG00000202469,Y_RNA,misc_RNA,10061222,10061323,X
ENSG00000252390,RNU5F-4P,snRNA,31594093,31594206,12
ENSG00000272166,SNORD5,snoRNA,25555543,25555606,3
ENSG00000207408,Y_RNA,misc_RNA,53324562,53324674,X
ENSG00000274713,MIR7974,miRNA,11495544,11495622,19
ENSG00000252132,RNU6-795P,snRNA,38043873,38043975,10
ENSG00000200895,RN7SKP245,misc_RNA,131820334,131820653,6
ENSG00000275391,MIR6770-3,miRNA,18379351,18379410,16
ENSG00000223056,RN7SKP169,misc_RNA,25963983,25964273,22
ENSG00000207327,RNU6-883P,snRNA,73529051,73529157,10
ENSG00000276941,MIR4509-1,miRNA,23197827,23197920,15
ENSG00000200635,Y_RNA,misc_RNA,55582733,55582834,X
ENSG00000266704,MIR4498,miRNA,120155434,120155499,12
ENSG00000252073,RNU6-947P,snRNA,244954858,244954963,1
ENSG00000265355,MIR3136,miRNA,69048958,69049035,3
ENSG00000252292,RN7SKP238,misc_RNA,85650012,85650260,10
ENSG00000221114,RNU6ATAC30P,snRNA,49684544,49684665,14
ENSG00000273648,MIR8065,miRNA,5632467,5632566,16
ENSG00000201492,RNA5SP78,rRNA,229549905,229550022,1
ENSG00000284160,MIR7706,miRNA,85380596,85380662,15
ENSG00000275372,ZEB2_AS1_1,misc_RNA,144518447,144518574,2
ENSG00000239105,RNU7-73P,snRNA,37573151,37573213,3
ENSG00000212040,MIR543,miRNA,101031987,101032064,14
ENSG00000216192,MIR920,miRNA,24212421,24212495,12
ENSG00000278359,MIR7155,miRNA,64341849,64341904,11
ENSG00000240014,RN7SL254P,misc_RNA,147808926,147809209,4
ENSG00000207874,MIR610,miRNA,28056815,28056910,11
ENSG00000200686,RNY3P3,misc_RNA,78355227,78355328,13
ENSG00000281894,ZKSCAN7,protein_coding,44555193,44594173,CHR_HG2066_PATCH
ENSG00000222585,RNA5SP494,rRNA,25715041,25715169,22
ENSG00000238490,Y_RNA,misc_RNA,108060818,108060930,6
ENSG00000201715,RN7SKP133,misc_RNA,17345616,17345955,5
ENSG00000263595,RN7SL823P,misc_RNA,16910490,16910784,19
ENSG00000283204,MIR4434,miRNA,64525513,64525565,2
ENSG00000263752,MIR3133,miRNA,241477905,241477982,2
ENSG00000266180,MIR4282,miRNA,72967687,72967753,6
ENSG00000201843,Y_RNA,misc_RNA,133302470,133302563,9
ENSG00000240961,RN7SL415P,misc_RNA,91739609,91739897,6
ENSG00000281226,AL590644.2,lincRNA,17189783,17197617,CHR_HG2095_PATCH
ENSG00000264834,MIR1273F,miRNA,52928674,52928772,1
ENSG00000253057,RN7SKP57,misc_RNA,111719769,111720061,5
ENSG00000206915,RNU6-439P,snRNA,49233794,49233899,2
ENSG00000276859,GNAS-AS1_1,misc_RNA,58842030,58842132,20
ENSG00000239057,MIR500B,miRNA,50010672,50010750,X
ENSG00000201263,SNORD114-6,snoRNA,100957166,100957237,14
ENSG00000207268,SNORA70C,snoRNA,117181066,117181200,9
ENSG00000280781,EI24P3,processed_pseudogene,44524744,44525805,CHR_HG2066_PATCH
ENSG00000238386,RNU7-48P,snRNA,70513294,70513356,6
ENSG00000201026,Y_RNA,misc_RNA,2184710,2184820,5
ENSG00000238923,RNU7-1,snRNA,6943816,6943878,12
ENSG00000278331,RNU6-156P,snRNA,40759600,40759706,9
ENSG00000252037,RNU6-162P,snRNA,143574746,143574848,7
ENSG00000274210,U1,snRNA,148522601,148522765,1
ENSG00000252205,RNU6-764P,snRNA,152250572,152250676,X
ENSG00000275901,Metazoa_SRP,misc_RNA,16187313,16187566,19
ENSG00000202000,RNU1-36P,snRNA,88000237,88000401,4
ENSG00000201388,SNORA68B,snoRNA,32608337,32608469,19
ENSG00000201642,RNU6-865P,snRNA,100952627,100952733,3
ENSG00000207976,MIR607,miRNA,96828669,96828764,10
ENSG00000284587,MIR943,miRNA,1986384,1986477,4
ENSG00000283634,MIR3155B,miRNA,6152207,6152262,10
ENSG00000264984,MIR5691,miRNA,9090312,9090379,11
ENSG00000199038,MIR210,miRNA,568089,568198,11
ENSG00000251825,RN7SKP19,misc_RNA,73191604,73191855,1
ENSG00000264192,RN7SL117P,misc_RNA,21922993,21923288,2
ENSG00000207728,MIR449B,miRNA,55170646,55170742,5
ENSG00000239542,RN7SL399P,misc_RNA,41730127,41730405,17
ENSG00000264141,MIR3928,miRNA,31160062,31160119,22
ENSG00000207098,SNORA70,snoRNA,32841861,32841995,21
ENSG00000206622,SNORA69,snoRNA,119787353,119787484,X
ENSG00000263815,RN7SL426P,misc_RNA,21229334,21229628,17
ENSG00000252217,Y_RNA,misc_RNA,65502741,65502836,15
ENSG00000211578,MIR766,miRNA,119646738,119646848,X
ENSG00000207782,MIR150,miRNA,49500785,49500868,19
ENSG00000207736,MIR657,miRNA,81125276,81125373,17
ENSG00000199295,RNU6-1312P,snRNA,83657735,83657842,2
ENSG00000277478,MIR6165,miRNA,49510817,49510900,17
ENSG00000238759,RNU7-155P,snRNA,71298156,71298218,17
ENSG00000201957,SNORA25,snoRNA,179169083,179169210,3
ENSG00000202331,RNA5SP167,rRNA,149907560,149907675,4
ENSG00000202184,RNU6-1283P,snRNA,246189014,246189118,1
ENSG00000252061,RNU6-415P,snRNA,78898840,78898936,15
ENSG00000273537,ZEB2_AS1_3,misc_RNA,144520456,144520555,2
ENSG00000201403,SNORD14B,snoRNA,17075779,17075868,11
ENSG00000238326,snoU13,snoRNA,56000518,56000621,5
ENSG00000200914,RNA5SP435,rRNA,6600944,6601051,17
ENSG00000239002,SCARNA10,snoRNA,6510222,6510551,12
ENSG00000201810,U8,snoRNA,180542701,180542836,3
ENSG00000238819,SNORD11,snoRNA,46351662,46351746,15
ENSG00000212450,RNU6-241P,snRNA,45789585,45789688,7
ENSG00000200427,Y_RNA,misc_RNA,85777639,85777755,6
ENSG00000273927,Y_RNA,misc_RNA,73039085,73039186,7
ENSG00000252491,RNU1-142P,snRNA,26790142,26790286,X
ENSG00000200832,SNORD114-4,snoRNA,100954374,100954448,14
ENSG00000199753,SNORD104,snoRNA,64146083,64146152,17
ENSG00000200997,RNU1-85P,snRNA,58679527,58679690,17
ENSG00000206636,Y_RNA,misc_RNA,7976259,7976360,12
ENSG00000252550,SNORA25,snoRNA,105897523,105897643,13
ENSG00000201023,RNY3P11,misc_RNA,109305494,109305595,6
ENSG00000265176,MIR3202-1,miRNA,153981097,153981177,X
ENSG00000252539,RNA5SP462,rRNA,453134,453245,19
ENSG00000208032,MIR548A3,miRNA,104484369,104484465,8
ENSG00000265226,MIR548AI,miRNA,99124609,99124696,6
ENSG00000200241,Y_RNA,misc_RNA,86159956,86160066,2
ENSG00000212389,RNU6-1275P,snRNA,147877422,147877528,2
ENSG00000283300,U6,snRNA,28743208,28743291,21
ENSG00000277506,RN7SL802P,misc_RNA,101581830,101582128,5
ENSG00000241524,RN7SL632P,misc_RNA,60831664,60831929,2
ENSG00000277553,HOTTIP_4,misc_RNA,27206139,27206303,7
ENSG00000198982,MIR380,miRNA,101025017,101025077,14
ENSG00000277892,MIR6746,miRNA,61878216,61878278,11
ENSG00000206766,RNU6-435P,snRNA,24218300,24218404,18
